objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"River of Gold","399941","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","124546710","6.83964","7.56307","2.4771","711","6880","thing","River of Gold","2","4","90","90","60","2024","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Robot Quest Arena","304668","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","111260503","6.35335","7.64668","2.1515","1717","3416","thing","Robot Quest Arena","2","4","60","60","30","2023","2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","124","EUR","","","2023-10-07","Spiel 23","","Price including 3 expansions","","","Wise Wizard Games","English","2023","English edition"
"Roll Camera!: Super Hero Story Pack","369987","0","0","0","1","0","0","0","0","0","0","0","3","Spiel 22","","","","","97996300","5.56139","7.81781","2","0","1013","thing","Roll Camera!: Super Hero Story Pack","1","4","90","90","45","2022","2,3,4","3,4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Roll Camera!: The B-Movie Expansion","344735","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","96686358","5.73948","7.90257","2","0","2340","thing","Roll Camera!: The B-Movie Expansion","1","6","90","90","45","2022","1,2,3,4","2,3,4","6+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Keen Bean Studio","English","2022","English edition"
"Roll Camera!: The Filmmaking Board Game","298102","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92965266","6.47048","7.38446","2.2069","1406","5928","thing","Roll Camera!: The Filmmaking Board Game","1","6","90","90","45","2021","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Keen Bean Studio","English","2021","English edition, first printing (clapper box)"
"Rolling Heights","331820","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","130488087","6.45603","7.45697","2.5455","1448","4897","thing","Rolling Heights","1","4","60","60","45","2023","1,2,3,4","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Rolling Seas","307365","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel 25","","","","136164404","5.52176","7.41258","3","19172","140","thing","Rolling Seas","1","6","60","60","30","2019","1","1","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Rule the Realm","274432","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68457109","5.66493","6.91468","1.4545","7183","868","thing","Rule the Realm","2","4","40","40","20","2019","2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rumble in the Dungeon","130827","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68457179","5.73446","6.32401","1.1111","5756","2016","thing","Rumble in the Dungeon","3","6","20","20","20","2012","3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rumble in the House","99437","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68457154","5.6774","6.13696","1.05","6896","1920","thing","Rumble in the House","3","6","20","20","20","2011","3,4,5,6","6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Saboteur","9220","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458868","6.40973","6.53799","1.3156","1571","68168","thing","Saboteur","3","10","30","30","30","2004","5,6,7,8,9,10","7,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Saboteur 2 (expansion-only editions)","91072","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458878","6.44907","6.93377","1.5427","0","18532","thing","Saboteur 2 (expansion-only editions)","2","12","45","45","45","2011","4,5,6,7,8,9,10","5,6,7,8","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Sakura Dice","401347","8","1","0","1","0","0","0","0","0","0","0","3","","Spiel25","","","","137197848","5.53428","7.76031","2.4286","15949","105","thing","Sakura Dice","2","6","60","60","40","2025","2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Scenery","441292","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel 25","","","","136085498","5.53209","7.05569","3","16408","110","thing","Scenery","1","5","50","50","20","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Sea of Thieves: Voyage of Legends","382016","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","113331938","5.53967","6.53342","2.8","14978","538","thing","Sea of Thieves: Voyage of Legends","2","4","120","120","90","2023","2,3,4","3","10+","","","","","","","standalone","","","","","","","","","","","","Steamforged Games Ltd.","English","2023","English edition"
"Septima","360692","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","95967540","6.55529","7.33366","3.6575","1207","9056","thing","Septima","1","4","100","100","50","2023","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Serendipity","34655","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458805","5.49197","5.02308","1.8","28155","72","thing","Serendipity","2","6","45","45","45","2008","2,3,4,5,6","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Shake That City","359764","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","110955028","6.02222","7.01635","1.878","3084","2950","thing","Shake That City","1","4","40","40","20","2023","1,2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","30","EUR","","","2023-11-01","Spiel 23","","","","","","","",""
"Shear Panic","18866","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","92478686","6.00216","6.34073","2.2214","3190","5871","thing","Shear Panic","2","4","45","45","45","2005","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Shipping Shenanigans","413301","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117074546","0","7.77273","0","0","176","thing","Shipping Shenanigans","2","4","60","60","45","2023","","","","","","","","","","expansion","","","","","","","","","","","","Phase Shift Games","English","2023","English edition"
"Shogun no Katana","319807","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","124462348","6.3044","7.72892","3.7609","1890","2700","thing","Shogun no Katana","1","4","180","180","60","2023","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Placentia Games; Post Scriptum","English","2023","English edition"
"Shugendo","458150","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","147722639","0","7","0","0","7","thing","Shugendo","2","4","60","60","50","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Side Quest: The Isle of Cats","428890","0","0","0","0","0","0","0","0","0","0","1","3","Spiel 24","","","","","123596395","5.50827","5.75325","2","23744","367","thing","Side Quest: The Isle of Cats","1","4","90","90","60","2024","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Simplicity","288254","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","100060817","5.53787","5.95649","1.6667","15283","193","thing","Simplicity","2","6","40","40","20","2021","2,3,4,5,6","5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Small World","40692","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","68458721","7.08214","7.18961","2.3456","412","104717","thing","Small World","2","5","80","80","40","2009","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Small World Underground","97786","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","68458758","6.87201","7.21994","2.587","654","20228","thing","Small World Underground","2","5","90","90","30","2011","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Small World: Power Pack 1","241991","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80666310","5.85263","7.62242","2.1667","0","2402","thing","Small World: Power Pack 1","2","5","80","80","40","2017","2,3,4,5","4,5","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Small World: Power Pack 2","241989","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80666305","5.88507","7.66656","2.2727","0","2608","thing","Small World: Power Pack 2","2","5","80","80","40","2017","2,3,4,5","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Solani","331804","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","82135811","5.66023","7.22604","2.2222","7301","876","thing","Solani","1","4","60","60","30","2023","1,2,3,4","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","40","EUR","","","","Kickstarter","","","","","","","",""
"Special Attractions (fan expansion for Draftosaurus)","324761","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","100060612","0","7.93333","1","0","75","thing","Special Attractions (fan expansion for Draftosaurus)","2","5","15","15","15","2020","2,3,4","4","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Spectacular","415147","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","120951468","6.33886","7.27072","2.2766","1760","3861","thing","Spectacular","1","6","30","30","20","2024","1,2,3,4,5,6","2,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spirit Island","162886","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","68457224","8.14117","8.33962","4.0755","11","100240","thing","Spirit Island","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Stackers","264172","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","68458087","0","6.03333","0","0","32","thing","Stackers","2","4","45","45","15","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Munchkin","4095","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68457876","5.82126","6.09987","1.7439","4623","11940","thing","Star Munchkin","3","6","90","90","90","2002","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Stonesaga","356944","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel25
Engelse versie zoeken","","","","137197949","5.72615","8.10751","3.3913","5905","1300","thing","Stonesaga","1","4","120","120","60","2026","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Stormlamp Rituals","469854","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","147455955","0","9.75","0","0","10","thing","The Stormlamp Rituals","1","2","600","600","600","2027","","","","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Storyfold: Wildwoods","425505","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel25","","","","137197988","6.02132","7.81331","2.1429","3087","3088","thing","Storyfold: Wildwoods","1","1","60","60","30","2025","1","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Suburbia: Collector's Edition","267367","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","99191955","6.95695","7.96958","2.7733","0","8425","thing","Suburbia: Collector's Edition","1","5","90","90","90","2019","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Bézier Games","English","2019","Retail edition"
"Subway Squeeze","365308","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","99175106","5.54484","6.93333","1.75","14151","263","thing","Subway Squeeze","2","4","30","30","30","2022","2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Cats","279014","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","99527092","5.59275","6.24603","1.0909","9943","1004","thing","Teenage Mutant Ninja Turtles: Turtle Power Card Game","3","6","15","15","10","2020","4,5,6","4,5,6","5+","No necessary in-game text","","","","","","standalone","","10","EUR","","","","","","","","","White Goblin Games","Dutch","2020","Dutch edition"
"Super Munchkin","16933","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68457920","5.63037","5.86389","1.8355","8197","7367","thing","Super Munchkin","3","6","90","90","90","2005","3,4,5,6","4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Boat","346255","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","111743335","5.56492","6.37554","1.625","11898","593","thing","Sushi Boat","2","5","75","75","30","2023","2,3","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go!","133473","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","92478690","6.86577","6.9788","1.1626","664","99727","thing","Sushi Go!","2","5","15","15","15","2015","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","White Goblin Games","Dutch","2015","Dutch second edition"
"Tacocat Spelled Backwards","333373","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","114089209","5.62232","6.26013","1.2105","8499","2778","thing","Tacocat Spelled Backwards","2","2","20","20","15","2021","2","2","6+","","","","","","","standalone","","","","","","","Secret Santa 2023","","","","","Exploding Kittens","English","2021","English edition"
"Takayama","278169","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","68457533","0","5.79857","0","0","30","thing","Takayama","1","10","30","30","30","2017","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Take That","211450","0","4","0","0","0","0","0","0","0","0","0","3","","","","","","96357731","5.58064","6.28033","1.1667","10677","788","thing","Take That","2","4","20","20","20","2016","3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","White Goblin Games","Dutch","2016","Dutch edition"
"Takenoko","70919","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","80317280","7.05531","7.19588","1.9732","445","78548","thing","Takenoko","2","4","45","45","45","2011","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Takenoko: Chibis","174095","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","93524332","6.76574","7.51819","1.8837","0","18609","thing","Takenoko: Chibis","2","4","45","0","45","2019","2,3,4","3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Bombyx; Matagot","English","2019","English edition 2019"
"Tang Garden","252153","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","112433606","6.62973","7.29422","2.6286","1054","9668","thing","Tang Garden","1","4","60","60","40","2020","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","40","EUR","","","","Spiel '23","","","","","ThunderGryph Games","English","2020","English edition"
"Tang Garden: Seasons","354718","0","0","0","0","0","0","0","0","0","0","1","2","Spiel 24","","","","","123002890","5.53451","6.24294","0","0","1555","thing","Tang Garden: Seasons","1","4","60","60","45","2024","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Tantrix","1038","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458921","5.89837","6.358","2.2209","3928","5205","thing","Tantrix","1","6","30","30","30","1991","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tea Garden","422042","0","2","0","0","0","0","0","0","0","0","0","3","Spiel 24","","","","","122548808","6.39411","7.5497","3.0917","1619","3954","thing","Tea Garden","2","4","120","120","90","2024","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tea Witches","426912","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel25","","","","137226327","5.97308","7.58938","3.125","3385","2516","thing","Tea Witches","2","4","120","120","60","2025","2,3","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tearable Quest","444551","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel 25","","","","136083273","5.56028","6.25186","1","12315","561","thing","Tearable Quest","1","50","10","10","10","2025","31","31","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Terminus","350198","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","120951357","5.89385","7.09948","3.7222","3963","2277","thing","Terminus","1","5","180","180","90","2024","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Threads of Fate","378654","0","2","0","0","0","0","0","0","0","1","0","1","","Love every Postcurious game :)","","","","138215575","5.68134","8.40741","3.375","6810","838","thing","Threads of Fate","1","4","800","800","300","2023","1,2,3","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Tidal Blades: Banner Festival","364994","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","97208268","5.88277","6.95132","1.9091","4059","2235","thing","Tidal Blades: Banner Festival","2","5","45","45","30","2022","2,3,4,5","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Timespan","462479","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","147665195","0","8.30333","3","0","9","thing","Timespan","1","5","90","90","90","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiwanaku","267979","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","96685904","6.17583","7.22989","2.186","2346","3174","thing","Tiwanaku","1","4","60","60","30","2022","1,2,3,4","1,2","12+","No necessary in-game text","","","","","","standalone","","49","EUR","","","","Kickstarter","","","","","","","",""
"Torii","424808","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel25","","","","124546879","5.54039","6.90188","1.3333","14857","132","thing","Torii","2","2","30","30","15","2024","2","2","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Torres","88","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","99823783","6.73983","7.07439","2.8464","856","15101","thing","Torres","2","4","60","60","60","2017","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","White Goblin Games","Dutch","2017","Dutch edition"
"Towers of the Sun","236508","0","0","0","0","0","0","0","0","0","0","1","2","Nog niet uit, komt (ooit) naar kickstarter?","","","","","125290424","5.51933","7.23457","2.5","19919","4","thing","Towers of the Sun","2","4","60","60","20","2023","2,3,4","2,3,4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Transmissions","313065","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","82135807","6.06688","7.25663","2.0312","2862","2815","thing","Transmissions","1","4","60","60","45","2022","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","54","EUR","","","","Kickstarter","","","","","","","",""
"Turing Machine","356123","0","21","0","1","0","0","0","0","0","0","0","3","Spiel 22","","","","","96685431","7.17794","7.59662","2.5314","326","20313","thing","Turing Machine","1","4","20","20","20","2022","1,2,3,4","1","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"TwinStar Valley","359288","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel 25","","","","136165878","5.57458","7.14067","2.5","11123","134","thing","TwinStar Valley","1","4","80","80","60","2025","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tzolk'in: The Mayan Calendar","126163","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68457252","7.67888","7.84233","3.663","77","50888","thing","Tzolk'in: The Mayan Calendar","2","4","90","90","90","2012","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tzolk'in: The Mayan Calendar – Tribes & Prophecies","143065","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68457322","7.167","8.11211","3.6129","0","14782","thing","Tzolk'in: The Mayan Calendar – Tribes & Prophecies","2","5","90","90","90","2013","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Under the Sea","244193","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","82135837","0","6.22143","1","0","47","thing","Under the Sea","1","4","10","10","5","2017","1,2,3,4","3,4","3–8","","","","","","","standalone","","","","","","","","","","","","","","",""
"Villagers","241724","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","111414545","6.69227","7.09487","2.2246","933","16000","thing","Villagers","1","5","60","60","30","2019","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Viral","194690","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","89104871","6.31658","6.9186","2.5942","1836","6242","thing","Viral","1","5","90","90","60","2017","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Arcane Wonders; MESAboardgames","English","2017","English edition"
"Viral: The Hive","328560","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","89107177","5.55903","7.22471","2.6667","0","946","thing","Viral: The Hive","2","5","90","90","60","2021","2,3,4,5","3","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Virus!: Roll & Write","417719","0","0","0","0","0","0","0","1","0","0","0","3","Spiel 24","","","","","123002989","5.62238","7.02135","1.8889","8496","795","thing","Virus!: Roll & Write","2","4","20","20","20","2024","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Vortex","209290","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","63492600","5.56408","6.78884","2","11976","337","thing","Vortex","1","6","60","60","15","2016","1,2,3,4,5","1","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Voynich Puzzle","439983","9","4","0","1","0","0","0","0","0","0","0","3","","Spiel 2025","","","","134047994","5.93234","7.28373","3.8734","3654","1936","thing","The Voynich Puzzle","1","4","120","120","90","2025","2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","60","EUR","","","2025-10-23","Spiel25","","","","","","","",""
"Walking in Osaka","448055","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel 25","","","","136083629","5.52916","6.74687","2","17086","187","thing","Walking in Osaka","1","4","30","30","15","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Warp & Weft","412013","0","0","0","0","0","0","0","0","0","0","1","3","Spiel 24","","","","","123002863","5.54775","6.94271","2","13764","179","thing","Warp & Weft","2","5","35","35","25","2024","4","4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Waterfall Park","396618","0","2","0","0","0","0","0","0","1","0","0","3","","","","","","114175552","6.01713","7.0293","1.913","3110","3102","thing","Waterfall Park","3","5","45","45","45","2023","4,5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Waterfall Park","396618","0","2","0","0","0","0","0","0","1","0","0","3","","","","","","125766099","6.01713","7.0293","1.913","3110","3102","thing","Waterfall Park","3","5","45","45","45","2023","4,5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Welcome to the Dungeon","150312","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","106347969","6.36634","6.52339","1.2345","1687","27776","thing","Welcome to the Dungeon","2","4","30","30","30","2015","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","IELLO","Dutch","2015","Dutch edition"
"Welcome to the Moon","339789","0","23","0","1","0","0","0","0","0","0","0","3","","","","","","89149616","7.35169","7.84314","2.4578","213","21048","thing","Welcome to the Moon","1","6","30","30","25","2021","1,2,3,4,5,6","2,3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Cocker Games","English","2021","English UK edition 2021"
"The Werewolves of Miller's Hollow","25821","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458854","6.4147","6.67018","1.3125","1559","24846","thing","The Werewolves of Miller's Hollow","8","18","30","30","30","2001","8,9,10,11,12,13,14,15,16,17,18","10,11,12,13,14","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Whirling Witchcraft","335275","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","92478700","6.26597","7.17761","1.807","2010","3939","thing","Whirling Witchcraft","2","5","30","30","15","2021","2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","30","EUR","","","2021-10-16","Spiel","","","","","Alderac Entertainment Group","English","2021","English edition"
"Wild World","461255","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","147723103","0","8.1","2.6667","0","23","thing","Wild World","1","4","90","90","45","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Wispwood","445044","0","3","0","1","0","0","0","0","0","0","0","2","","Spiel25","","","","137198637","6.20359","7.39175","2.025","2240","2941","thing","Wispwood","1","4","45","45","30","2025","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Wolves","368058","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","96683954","6.6247","7.24028","2.8212","1061","8241","thing","The Wolves","2","5","75","75","75","2022","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Wonderland's War","227935","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","100061061","7.50407","8.02798","3.048","134","17546","thing","Wonderland's War","2","5","125","125","45","2022","3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Wondrous Creatures","400366","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","138215838","7.36724","8.03112","3.0267","197","13845","thing","Wondrous Creatures","1","4","80","80","40","2024","1,2,3","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"World Wonders","365258","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","110746853","7.0282","7.59687","2.2551","477","12220","thing","World Wonders","1","5","70","70","50","2023","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"World Wonders: Mundo Wonders Pack","406746","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","120951066","6.04985","8.05795","2.3","0","3988","thing","World Wonders: Mundo Wonders Pack","1","5","70","70","50","2024","1,2,3,4,5","1,2,3","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Wunder der Welt: Europa Wunderpaket","441235","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137716753","5.62933","8.23531","2","0","1071","thing","World Wonders: Europa Wonders Pack","1","5","70","70","70","2025","","","","No necessary in-game text","","","","","","expansion","","28","EUR","","","2025-10-24","Spiel25","","","","","Kobold Spieleverlag","German","2025","German edition"
"Wutaki","314393","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","80317272","5.65262","7.38218","2.7778","7512","409","thing","Wutaki","2","4","90","90","60","2021","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","60","EUR","","","","Kickstarter","","","","","","","",""
"Yummy Yummy Monster Tummy","344254","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","101571048","5.89867","6.98176","1.125","3926","2259","thing","Yummy Yummy Monster Tummy","2","4","30","30","15","2021","2,3,4","3","4+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","HYBR; Lucky Duck Games","English","2021","English edition"
"Zähl mal!","321753","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","82135847","0","6.63333","0","0","38","thing","Count 'em Up","2","4","20","20","10","2020","2,3,4","2","2–5","","","","","","","standalone","","","","","","","","","","","","HABA","Dutch; English; French; German; Italian; Spanish","2020","Multilingual edition (German packaging)"
"Zookeepers","283482","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","99022640","5.47904","5.31837","1.75","29700","64","thing","Zookeepers","2","6","60","60","30","2022","","","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
